cycle,subject,measure,value
0.675,boy15,Hip Angle,25.0
0.675,boy15,Knee Angle,67.0
0.675,boy16,Hip Angle,24.0
0.675,boy16,Knee Angle,68.0
0.675,boy17,Hip Angle,21.0
0.675,boy17,Knee Angle,69.0
0.675,boy18,Hip Angle,22.0
0.675,boy18,Knee Angle,66.0
0.675,boy19,Hip Angle,13.0
0.675,boy19,Knee Angle,69.0
0.675,boy20,Hip Angle,17.0
0.675,boy20,Knee Angle,60.0
0.675,boy21,Hip Angle,20.0
0.675,boy21,Knee Angle,70.0
0.675,boy22,Hip Angle,24.0
0.675,boy22,Knee Angle,65.0
0.675,boy23,Hip Angle,35.0
0.675,boy23,Knee Angle,68.0
0.675,boy24,Hip Angle,30.0
0.675,boy24,Knee Angle,76.0
0.675,boy25,Hip Angle,22.0
0.675,boy25,Knee Angle,70.0
0.675,boy26,Hip Angle,13.0
0.675,boy26,Knee Angle,69.0
0.675,boy27,Hip Angle,16.0
0.675,boy27,Knee Angle,68.0
0.675,boy28,Hip Angle,33.0
0.675,boy28,Knee Angle,79.0
0.675,boy29,Hip Angle,10.0
0.675,boy29,Knee Angle,58.0
0.675,boy30,Hip Angle,26.0
0.675,boy30,Knee Angle,69.0
0.675,boy31,Hip Angle,41.0
0.675,boy31,Knee Angle,72.0
0.675,boy32,Hip Angle,32.0
0.675,boy32,Knee Angle,72.0
0.675,boy33,Hip Angle,22.0
0.675,boy33,Knee Angle,68.0
0.675,boy34,Hip Angle,22.0
0.675,boy34,Knee Angle,66.0
0.675,boy35,Hip Angle,27.0
0.675,boy35,Knee Angle,72.0
0.675,boy36,Hip Angle,25.0
0.675,boy36,Knee Angle,73.0
0.675,boy37,Hip Angle,20.0
0.675,boy37,Knee Angle,73.0
0.675,boy38,Hip Angle,19.0
0.675,boy38,Knee Angle,57.0
0.675,boy39,Hip Angle,36.0
0.675,boy39,Knee Angle,79.0
0.725,boy1,Hip Angle,31.0
0.725,boy1,Knee Angle,70.0
0.725,boy2,Hip Angle,34.0
0.725,boy2,Knee Angle,70.0
0.725,boy3,Hip Angle,34.0
0.725,boy3,Knee Angle,79.0
0.725,boy4,Hip Angle,23.0
0.725,boy4,Knee Angle,67.0
0.725,boy5,Hip Angle,27.0
0.725,boy5,Knee Angle,71.0
0.725,boy6,Hip Angle,32.0
0.725,boy6,Knee Angle,65.0
0.725,boy7,Hip Angle,31.0
0.725,boy7,Knee Angle,71.0
0.725,boy8,Hip Angle,35.0
0.725,boy8,Knee Angle,79.0
0.725,boy9,Hip Angle,29.0
0.725,boy9,Knee Angle,65.0
0.725,boy10,Hip Angle,39.0
0.725,boy10,Knee Angle,77.0
0.725,boy11,Hip Angle,36.0
0.725,boy11,Knee Angle,75.0
0.725,boy12,Hip Angle,35.0
0.725,boy12,Knee Angle,72.0
0.725,boy13,Hip Angle,27.0
0.725,boy13,Knee Angle,71.0
0.725,boy14,Hip Angle,37.0
0.725,boy14,Knee Angle,73.0
0.725,boy15,Hip Angle,35.0
0.725,boy15,Knee Angle,71.0
0.725,boy16,Hip Angle,38.0
0.725,boy16,Knee Angle,79.0
0.725,boy17,Hip Angle,33.0
0.725,boy17,Knee Angle,75.0
0.725,boy18,Hip Angle,32.0
0.725,boy18,Knee Angle,73.0
0.725,boy19,Hip Angle,22.0
0.725,boy19,Knee Angle,74.0
0.725,boy20,Hip Angle,34.0
0.725,boy20,Knee Angle,71.0
0.725,boy21,Hip Angle,36.0
0.725,boy21,Knee Angle,80.0
0.725,boy22,Hip Angle,33.0
0.725,boy22,Knee Angle,72.0
0.725,boy23,Hip Angle,41.0
0.725,boy23,Knee Angle,69.0
0.725,boy24,Hip Angle,37.0
0.725,boy24,Knee Angle,76.0
0.725,boy25,Hip Angle,31.0
0.725,boy25,Knee Angle,73.0
0.725,boy26,Hip Angle,22.0
0.725,boy26,Knee Angle,74.0
0.725,boy27,Hip Angle,26.0
0.725,boy27,Knee Angle,78.0
0.725,boy28,Hip Angle,43.0
0.725,boy28,Knee Angle,81.0
0.725,boy29,Hip Angle,22.0
0.725,boy29,Knee Angle,71.0
0.725,boy30,Hip Angle,39.0
0.725,boy30,Knee Angle,75.0
0.725,boy31,Hip Angle,50.0
0.725,boy31,Knee Angle,72.0
0.725,boy32,Hip Angle,43.0
0.725,boy32,Knee Angle,77.0
0.725,boy33,Hip Angle,30.0
0.725,boy33,Knee Angle,71.0
0.725,boy34,Hip Angle,34.0
0.725,boy34,Knee Angle,76.0
0.725,boy35,Hip Angle,40.0
0.725,boy35,Knee Angle,80.0
0.725,boy36,Hip Angle,37.0
0.725,boy36,Knee Angle,77.0
0.725,boy37,Hip Angle,36.0
0.725,boy37,Knee Angle,82.0
0.725,boy38,Hip Angle,31.0
0.725,boy38,Knee Angle,69.0
0.725,boy39,Hip Angle,51.0
0.725,boy39,Knee Angle,82.0
0.775,boy1,Hip Angle,38.0
0.775,boy1,Knee Angle,66.0
0.775,boy2,Hip Angle,42.0
0.775,boy2,Knee Angle,66.0
0.775,boy3,Hip Angle,43.0
0.775,boy3,Knee Angle,77.0
0.775,boy4,Hip Angle,31.0
0.775,boy4,Knee Angle,61.0
0.775,boy5,Hip Angle,36.0
0.775,boy5,Knee Angle,66.0
0.775,boy6,Hip Angle,40.0
0.775,boy6,Knee Angle,66.0
0.775,boy7,Hip Angle,37.0
0.775,boy7,Knee Angle,68.0
0.775,boy8,Hip Angle,44.0
0.775,boy8,Knee Angle,76.0
0.775,boy9,Hip Angle,39.0
0.775,boy9,Knee Angle,67.0
0.775,boy10,Hip Angle,45.0
0.775,boy10,Knee Angle,70.0
0.775,boy11,Hip Angle,44.0
0.775,boy11,Knee Angle,69.0
0.775,boy12,Hip Angle,41.0
0.775,boy12,Knee Angle,66.0
0.775,boy13,Hip Angle,34.0
0.775,boy13,Knee Angle,70.0
0.775,boy14,Hip Angle,41.0
0.775,boy14,Knee Angle,68.0
0.775,boy15,Hip Angle,43.0
0.775,boy15,Knee Angle,65.0
0.775,boy16,Hip Angle,49.0
0.775,boy16,Knee Angle,77.0
0.775,boy17,Hip Angle,44.0
0.775,boy17,Knee Angle,72.0
0.775,boy18,Hip Angle,42.0
0.775,boy18,Knee Angle,72.0
0.775,boy19,Hip Angle,32.0
0.775,boy19,Knee Angle,71.0
0.775,boy20,Hip Angle,35.0
0.775,boy20,Knee Angle,65.0
0.775,boy21,Hip Angle,48.0
0.775,boy21,Knee Angle,80.0
0.775,boy22,Hip Angle,42.0
0.775,boy22,Knee Angle,73.0
0.775,boy23,Hip Angle,52.0
0.775,boy23,Knee Angle,69.0
0.775,boy24,Hip Angle,47.0
0.775,boy24,Knee Angle,71.0
0.775,boy25,Hip Angle,40.0
0.775,boy25,Knee Angle,66.0
0.775,boy26,Hip Angle,32.0
0.775,boy26,Knee Angle,71.0
0.775,boy27,Hip Angle,37.0
0.775,boy27,Knee Angle,80.0
0.775,boy28,Hip Angle,51.0
0.775,boy28,Knee Angle,75.0
0.775,boy29,Hip Angle,32.0
0.775,boy29,Knee Angle,70.0
0.775,boy30,Hip Angle,48.0
0.775,boy30,Knee Angle,68.0
0.775,boy31,Hip Angle,56.0
0.775,boy31,Knee Angle,63.0
0.775,boy32,Hip Angle,52.0
0.775,boy32,Knee Angle,69.0
0.775,boy33,Hip Angle,36.0
0.775,boy33,Knee Angle,67.0
0.775,boy34,Hip Angle,45.0
0.775,boy34,Knee Angle,77.0
0.775,boy35,Hip Angle,48.0
0.775,boy35,Knee Angle,75.0
0.775,boy36,Hip Angle,45.0
0.775,boy36,Knee Angle,75.0
0.775,boy37,Hip Angle,44.0
0.775,boy37,Knee Angle,76.0
0.775,boy38,Hip Angle,43.0
0.775,boy38,Knee Angle,71.0
0.775,boy39,Hip Angle,59.0
0.775,boy39,Knee Angle,76.0
0.825,boy1,Hip Angle,43.0
0.825,boy1,Knee Angle,57.0
0.825,boy2,Hip Angle,47.0
0.825,boy2,Knee Angle,55.0
0.825,boy3,Hip Angle,51.0
0.825,boy3,Knee Angle,67.0
0.825,boy4,Hip Angle,33.0
0.825,boy4,Knee Angle,43.0
0.825,boy5,Hip Angle,34.0
0.825,boy5,Knee Angle,44.0
0.825,boy6,Hip Angle,49.0
0.825,boy6,Knee Angle,61.0
0.825,boy7,Hip Angle,46.0
0.825,boy7,Knee Angle,65.0
0.825,boy8,Hip Angle,49.0
0.825,boy8,Knee Angle,61.0
0.825,boy9,Hip Angle,47.0
0.825,boy9,Knee Angle,61.0
0.825,boy10,Hip Angle,48.0
0.825,boy10,Knee Angle,55.0
0.825,boy11,Hip Angle,47.0
0.825,boy11,Knee Angle,50.0
0.825,boy12,Hip Angle,44.0
0.825,boy12,Knee Angle,51.0
0.825,boy13,Hip Angle,40.0
0.825,boy13,Knee Angle,62.0
0.825,boy14,Hip Angle,44.0
0.825,boy14,Knee Angle,53.0
0.825,boy15,Hip Angle,49.0
0.825,boy15,Knee Angle,48.0
0.825,boy16,Hip Angle,57.0
0.825,boy16,Knee Angle,67.0
0.825,boy17,Hip Angle,51.0
0.825,boy17,Knee Angle,60.0
0.825,boy18,Hip Angle,46.0
0.825,boy18,Knee Angle,61.0
0.825,boy19,Hip Angle,39.0
0.825,boy19,Knee Angle,60.0
0.825,boy20,Hip Angle,40.0
0.825,boy20,Knee Angle,58.0
0.825,boy21,Hip Angle,55.0
0.825,boy21,Knee Angle,68.0
0.825,boy22,Hip Angle,48.0
0.825,boy22,Knee Angle,64.0
0.825,boy23,Hip Angle,57.0
0.825,boy23,Knee Angle,63.0
0.825,boy24,Hip Angle,53.0
0.825,boy24,Knee Angle,55.0
0.825,boy25,Hip Angle,43.0
0.825,boy25,Knee Angle,49.0
0.825,boy26,Hip Angle,39.0
0.825,boy26,Knee Angle,60.0
0.825,boy27,Hip Angle,44.0
0.825,boy27,Knee Angle,74.0
0.825,boy28,Hip Angle,57.0
0.825,boy28,Knee Angle,61.0
0.825,boy29,Hip Angle,38.0
0.825,boy29,Knee Angle,56.0
0.825,boy30,Hip Angle,52.0
0.825,boy30,Knee Angle,46.0
0.825,boy31,Hip Angle,61.0
0.825,boy31,Knee Angle,47.0
0.825,boy32,Hip Angle,58.0
0.825,boy32,Knee Angle,60.0
0.825,boy33,Hip Angle,39.0
0.825,boy33,Knee Angle,54.0
0.825,boy34,Hip Angle,53.0
0.825,boy34,Knee Angle,71.0
0.825,boy35,Hip Angle,53.0
0.825,boy35,Knee Angle,59.0
0.825,boy36,Hip Angle,52.0
0.825,boy36,Knee Angle,64.0
0.825,boy37,Hip Angle,49.0
0.825,boy37,Knee Angle,59.0
0.825,boy38,Hip Angle,52.0
0.825,boy38,Knee Angle,62.0
0.825,boy39,Hip Angle,63.0
0.825,boy39,Knee Angle,65.0
0.875,boy1,Hip Angle,44.0
0.875,boy1,Knee Angle,40.0
0.875,boy2,Hip Angle,48.0
0.875,boy2,Knee Angle,39.0
0.875,boy3,Hip Angle,53.0
0.875,boy3,Knee Angle,46.0
0.875,boy4,Hip Angle,35.0
0.875,boy4,Knee Angle,18.0
0.875,boy5,Hip Angle,33.0
0.875,boy5,Knee Angle,23.0
0.875,boy6,Hip Angle,55.0
0.875,boy6,Knee Angle,45.0
0.875,boy7,Hip Angle,45.0
0.875,boy7,Knee Angle,40.0
0.875,boy8,Hip Angle,49.0
0.875,boy8,Knee Angle,35.0
0.875,boy9,Hip Angle,51.0
0.875,boy9,Knee Angle,47.0
0.875,boy10,Hip Angle,48.0
0.875,boy10,Knee Angle,36.0
0.875,boy11,Hip Angle,45.0
0.875,boy11,Knee Angle,25.0
0.875,boy12,Hip Angle,45.0
0.875,boy12,Knee Angle,30.0
0.875,boy13,Hip Angle,41.0
0.875,boy13,Knee Angle,45.0
0.875,boy14,Hip Angle,44.0
0.875,boy14,Knee Angle,32.0
0.875,boy15,Hip Angle,50.0
0.875,boy15,Knee Angle,25.0
0.875,boy16,Hip Angle,59.0
0.875,boy16,Knee Angle,48.0
0.875,boy17,Hip Angle,55.0
0.875,boy17,Knee Angle,43.0
0.875,boy18,Hip Angle,48.0
0.875,boy18,Knee Angle,43.0
0.875,boy19,Hip Angle,41.0
0.875,boy19,Knee Angle,41.0
0.875,boy20,Hip Angle,43.0
0.875,boy20,Knee Angle,39.0
0.875,boy21,Hip Angle,57.0
0.875,boy21,Knee Angle,48.0
0.875,boy22,Hip Angle,48.0
0.875,boy22,Knee Angle,46.0
0.875,boy23,Hip Angle,61.0
0.875,boy23,Knee Angle,44.0
0.875,boy24,Hip Angle,53.0
0.875,boy24,Knee Angle,26.0
0.875,boy25,Hip Angle,43.0
0.875,boy25,Knee Angle,24.0
0.875,boy26,Hip Angle,41.0
0.875,boy26,Knee Angle,41.0
0.875,boy27,Hip Angle,47.0
0.875,boy27,Knee Angle,57.0
0.875,boy28,Hip Angle,58.0
0.875,boy28,Knee Angle,42.0
0.875,boy29,Hip Angle,41.0
0.875,boy29,Knee Angle,36.0
0.875,boy30,Hip Angle,48.0
0.875,boy30,Knee Angle,21.0
0.875,boy31,Hip Angle,59.0
0.875,boy31,Knee Angle,23.0
0.875,boy32,Hip Angle,59.0
0.875,boy32,Knee Angle,38.0
0.875,boy33,Hip Angle,36.0
0.875,boy33,Knee Angle,30.0
0.875,boy34,Hip Angle,57.0
0.875,boy34,Knee Angle,54.0
0.875,boy35,Hip Angle,53.0
0.875,boy35,Knee Angle,34.0
0.875,boy36,Hip Angle,53.0
0.875,boy36,Knee Angle,44.0
0.875,boy37,Hip Angle,46.0
0.875,boy37,Knee Angle,31.0
0.875,boy38,Hip Angle,56.0
0.875,boy38,Knee Angle,45.0
0.875,boy39,Hip Angle,64.0
0.875,boy39,Knee Angle,46.0
0.925,boy1,Hip Angle,40.0
0.925,boy1,Knee Angle,22.0
0.925,boy2,Hip Angle,45.0
0.925,boy2,Knee Angle,23.0
0.925,boy3,Hip Angle,50.0
0.925,boy3,Knee Angle,22.0
0.925,boy4,Hip Angle,34.0
0.925,boy4,Knee Angle,3.0
0.925,boy5,Hip Angle,32.0
0.925,boy5,Knee Angle,5.0
0.925,boy6,Hip Angle,56.0
0.925,boy6,Knee Angle,21.0
0.925,boy7,Hip Angle,46.0
0.925,boy7,Knee Angle,17.0
0.925,boy8,Hip Angle,47.0
0.925,boy8,Knee Angle,13.0
0.925,boy9,Hip Angle,52.0
0.925,boy9,Knee Angle,26.0
0.925,boy10,Hip Angle,43.0
0.925,boy10,Knee Angle,17.0
0.925,boy11,Hip Angle,42.0
0.925,boy11,Knee Angle,13.0
0.925,boy12,Hip Angle,40.0
0.925,boy12,Knee Angle,8.0
0.925,boy13,Hip Angle,39.0
0.925,boy13,Knee Angle,26.0
0.925,boy14,Hip Angle,41.0
0.925,boy14,Knee Angle,16.0
0.925,boy15,Hip Angle,45.0
0.925,boy15,Knee Angle,5.0
0.925,boy16,Hip Angle,54.0
0.925,boy16,Knee Angle,23.0
0.925,boy17,Hip Angle,56.0
0.925,boy17,Knee Angle,26.0
0.925,boy18,Hip Angle,49.0
0.925,boy18,Knee Angle,22.0
0.925,boy19,Hip Angle,38.0
0.925,boy19,Knee Angle,23.0
0.925,boy20,Hip Angle,43.0
0.925,boy20,Knee Angle,20.0
0.925,boy21,Hip Angle,56.0
0.925,boy21,Knee Angle,27.0
0.925,boy22,Hip Angle,48.0
0.925,boy22,Knee Angle,28.0
0.925,boy23,Hip Angle,63.0
0.925,boy23,Knee Angle,28.0
0.925,boy24,Hip Angle,49.0
0.925,boy24,Knee Angle,8.0
0.925,boy25,Hip Angle,38.0
0.925,boy25,Knee Angle,6.0
0.925,boy26,Hip Angle,38.0
0.925,boy26,Knee Angle,23.0
0.925,boy27,Hip Angle,44.0
0.925,boy27,Knee Angle,35.0
0.925,boy28,Hip Angle,54.0
0.925,boy28,Knee Angle,25.0
0.925,boy29,Hip Angle,41.0
0.925,boy29,Knee Angle,19.0
0.925,boy30,Hip Angle,43.0
0.925,boy30,Knee Angle,6.0
0.925,boy31,Hip Angle,57.0
0.925,boy31,Knee Angle,9.0
0.925,boy32,Hip Angle,57.0
0.925,boy32,Knee Angle,17.0
0.925,boy33,Hip Angle,30.0
0.925,boy33,Knee Angle,9.0
0.925,boy34,Hip Angle,55.0
0.925,boy34,Knee Angle,26.0
0.925,boy35,Hip Angle,50.0
0.925,boy35,Knee Angle,10.0
0.925,boy36,Hip Angle,52.0
0.925,boy36,Knee Angle,23.0
0.925,boy37,Hip Angle,38.0
0.925,boy37,Knee Angle,7.0
0.925,boy38,Hip Angle,59.0
0.925,boy38,Knee Angle,28.0
0.925,boy39,Hip Angle,61.0
0.925,boy39,Knee Angle,25.0
0.975,boy1,Hip Angle,35.0
0.975,boy1,Knee Angle,11.0
0.975,boy2,Hip Angle,43.0
0.975,boy2,Knee Angle,16.0
0.975,boy3,Hip Angle,49.0
0.975,boy3,Knee Angle,14.0
0.975,boy4,Hip Angle,32.0
0.975,boy4,Knee Angle,0.0
0.975,boy5,Hip Angle,28.0
0.975,boy5,Knee Angle,4.0
0.975,boy6,Hip Angle,55.0
0.975,boy6,Knee Angle,9.0
0.975,boy7,Hip Angle,41.0
0.975,boy7,Knee Angle,3.0
0.975,boy8,Hip Angle,43.0
0.975,boy8,Knee Angle,5.0
0.975,boy9,Hip Angle,47.0
0.975,boy9,Knee Angle,10.0
0.975,boy10,Hip Angle,39.0
0.975,boy10,Knee Angle,16.0
0.975,boy11,Hip Angle,40.0
0.975,boy11,Knee Angle,6.0
0.975,boy12,Hip Angle,39.0
0.975,boy12,Knee Angle,5.0
0.975,boy13,Hip Angle,36.0
0.975,boy13,Knee Angle,12.0
0.975,boy14,Hip Angle,37.0
0.975,boy14,Knee Angle,10.0
0.975,boy15,Hip Angle,46.0
0.975,boy15,Knee Angle,8.0
0.975,boy16,Hip Angle,46.0
0.975,boy16,Knee Angle,13.0
0.975,boy17,Hip Angle,51.0
0.975,boy17,Knee Angle,16.0
0.975,boy18,Hip Angle,46.0
0.975,boy18,Knee Angle,11.0
0.975,boy19,Hip Angle,34.0
0.975,boy19,Knee Angle,15.0
0.975,boy20,Hip Angle,42.0
0.975,boy20,Knee Angle,10.0
0.975,boy21,Hip Angle,50.0
0.975,boy21,Knee Angle,16.0
0.975,boy22,Hip Angle,46.0
0.975,boy22,Knee Angle,13.0
0.975,boy23,Hip Angle,58.0
0.975,boy23,Knee Angle,8.0
0.975,boy24,Hip Angle,44.0
0.975,boy24,Knee Angle,12.0
0.975,boy25,Hip Angle,38.0
0.975,boy25,Knee Angle,9.0
0.975,boy26,Hip Angle,34.0
0.975,boy26,Knee Angle,15.0
0.975,boy27,Hip Angle,37.0
0.975,boy27,Knee Angle,18.0
0.975,boy28,Hip Angle,46.0
0.975,boy28,Knee Angle,16.0
0.975,boy29,Hip Angle,40.0
0.975,boy29,Knee Angle,11.0
0.975,boy30,Hip Angle,42.0
0.975,boy30,Knee Angle,8.0
0.975,boy31,Hip Angle,58.0
0.975,boy31,Knee Angle,19.0
0.975,boy32,Hip Angle,52.0
0.975,boy32,Knee Angle,14.0
0.975,boy33,Hip Angle,29.0
0.975,boy33,Knee Angle,6.0
0.975,boy34,Hip Angle,43.0
0.975,boy34,Knee Angle,3.0
0.975,boy35,Hip Angle,47.0
0.975,boy35,Knee Angle,9.0
0.975,boy36,Hip Angle,46.0
0.975,boy36,Knee Angle,16.0
0.975,boy37,Hip Angle,35.0
0.975,boy37,Knee Angle,7.0
0.975,boy38,Hip Angle,59.0
0.975,boy38,Knee Angle,20.0
0.975,boy39,Hip Angle,55.0
0.975,boy39,Knee Angle,15.0
